name,ID,File #,Action Date,Title,Vote,Meeting Body
Myrna_Melgar,0,,,,,
Myrna_Melgar,1,230701.0,10/30/2023,"Ordinance amending the Planning Code to 1) permit additional commercial, retail, and restaurant uses on the ground floor in certain neighborhood commercial districts (NCDs) and residential districts; 2) principally permit Flexible Retail on the ground floor in NCDs and Chinatown mixed use districts; 3) principally permit Retail Professional Services uses on all floors and conditionally permit Non-Retail Professional Services on the ground floor in specified NCDs; 4) create regulations for music entertainment venues and non-profit theaters distinct from regulations for Bars; 5) allow Limited Co",Aye,Land Use and Transportation Committee
Myrna_Melgar,2,230701.0,10/30/2023,"Ordinance amending the Planning Code to 1) permit additional commercial, retail, and restaurant uses on the ground floor in certain neighborhood commercial districts (NCDs) and residential districts; 2) principally permit Flexible Retail on the ground floor in NCDs and Chinatown mixed use districts; 3) principally permit Retail Professional Services uses on all floors and conditionally permit Non-Retail Professional Services on the ground floor in specified NCDs; 4) create regulations for music entertainment venues and non-profit theaters distinct from regulations for Bars; 5) allow Limited Co",Aye,Land Use and Transportation Committee
Myrna_Melgar,3,230505.0,10/30/2023,"Ordinance amending the Planning Code to create the Wawona Street and 45th Avenue Cultural Center Special Use District (Assessor’s Parcel Block No. 2513, Lot No. 026) to facilitate the redevelopment of a cultural center; amending the Zoning Map to show the Wawona Street and 45th Avenue Cultural Center Special Use District; amending the Local Coastal Program to add the Wawona Street and 45th Avenue Cultural Center Special Use District, subject to certification by the California Coastal Commission; affirming the Planning Department’s determination under the California Environmental Quality Act; a",Aye,Land Use and Transportation Committee
Myrna_Melgar,4,230505.0,10/30/2023,"Ordinance amending the Planning Code to create the Wawona Street and 45th Avenue Cultural Center Special Use District (Assessor’s Parcel Block No. 2513, Lot No. 026) to facilitate the redevelopment of a cultural center; amending the Zoning Map to show the Wawona Street and 45th Avenue Cultural Center Special Use District; amending the Local Coastal Program to add the Wawona Street and 45th Avenue Cultural Center Special Use District, subject to certification by the California Coastal Commission; affirming the Planning Department’s determination under the California Environmental Quality Act; a",Aye,Land Use and Transportation Committee
Myrna_Melgar,5,230768.0,10/30/2023,"Ordinance amending the Public Works Code to streamline and authorize the approval of certain neighborhood amenities, also known as Love Our Neighborhoods Projects, in sidewalks and other public right-of-ways within the Department of Public Works’ jurisdiction, to reduce fees for certain minor encroachment permits, to waive certain annual encroachment assessments, to clarify the approval process for commemorative plaques, and to clarify the permitting, revocation, and restoration requirements for all minor encroachment permits; and affirming the Planning Department’s determination under the Cal",Aye,Land Use and Transportation Committee
Myrna_Melgar,6,230446.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by 1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; 2) removing the Conditional Use requirement for several types of housing projec",Aye,Land Use and Transportation Committee
Myrna_Melgar,7,231142.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by (1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; (2) removing the Conditional Use requirement for several types of housing proj",Aye,Land Use and Transportation Committee
Myrna_Melgar,8,231142.0,10/30/2023,"Ordinance amending the Planning Code to encourage housing production by (1) exempting, under certain conditions, specified housing projects from the notice and review procedures of Section 311 and the Conditional Use requirement of Section 317, in areas outside of Priority Equity Geographies, which are identified in the Housing Element as areas or neighborhoods with a high density of vulnerable populations, and areas outside RH (Residential House) Districts within the Family Housing Opportunity Special Use District; (2) removing the Conditional Use requirement for several types of housing proj",Aye,Land Use and Transportation Committee
Myrna_Melgar,9,220709.0,10/23/2023,"Ordinance amending the Planning Code to change the zoning controls in the Castro Street Neighborhood Commercial District to exclude Article 10 Landmark buildings from use size limitation and allow Nighttime Entertainment with a Conditional Use authorization on the second floor; affirming the Planning Department’s determination under the California Environmental Quality Act; and making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Land Use and Transportation Committee
Myrna_Melgar,10,230924.0,10/23/2023,"Ordinance amending the Planning Code to create the Non-Profit Arts Education Special Use District (Assessor’s Parcel Block No. 49, Lot No. 1, generally bounded by Francisco Street, Jones Street, Chestnut Street, and Leavenworth Street, and numbered as 800 Chestnut Street); amending the Zoning Map to show the Non-Profit Arts Education Special Use District; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101; and making findings of publ",Aye,Land Use and Transportation Committee
Myrna_Melgar,11,230877.0,10/16/2023,Resolution adding the Commemorative Street Name “Elsie Tonelli Street” to Mission Street between Santa Rosa Avenue and Excelsior Avenue in recognition of her contribution to San Francisco as a local figure.,Aye,Land Use and Transportation Committee
Myrna_Melgar,12,230941.0,10/16/2023,"Resolution authorizing the placement of the Lodginghouse District of San Francisco’s Cultural Heritage District plaques, to be installed on the sidewalks at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in the Lodginghouse District.",Aye,Land Use and Transportation Committee
Myrna_Melgar,13,230942.0,10/16/2023,"Resolution authorizing the placement of the SoMa Pilipinas Filipino Cultural Heritage District plaques, to be installed on the sidewalk at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in the SoMa Pilipinas Cultural District.",Aye,Land Use and Transportation Committee
Myrna_Melgar,14,230943.0,10/16/2023,"Resolution authorizing the placement of the Compton’s Transgender Cultural District of San Francisco’s Cultural Heritage District plaques, to be installed on the sidewalks at various historic location markers along the 6th Street corridor between Market Street and Howard Street, and initiating the process set forth in Public Works Code, Sections 789 et seq., to provide for the creation of a program for and installation of commemorative plaques in Compton’s Transgender Cultural District.",Aye,Land Use and Transportation Committee
