ID,Action Date,Title,Vote,Meeting Body,File #
2,2024-10-11 00:00:00,"Resolution authorizing the Office of the Mayor and the Department of Homelessness and Supportive Housing to solicit donations from various private entities and organizations to support the expansion of temporary shelter and other homeless services to support people experiencing homelessness, notwithstanding the Behested Payment Ordinance.",Aye,Government Audit and Oversight Committee,240883.0
3,2024-10-11 00:00:00,"Resolution authorizing the Office of the Mayor and the Department of Homelessness and Supportive Housing to solicit donations from various private entities and organizations to support the expansion of temporary shelter and other homeless services to support people experiencing homelessness, notwithstanding the Behested Payment Ordinance.",Aye,Government Audit and Oversight Committee,240883.0
4,2024-10-11 00:00:00,"Hearing on the Controller's report on the assessment of invoices reviewed under a grant agreement between the San Francisco Police Department and San Francisco SAFE (SF SAFE); and requesting the Controller's Office, San Francisco Police Department, Mayor's Office of Economic Workforce Development, and SF SAFE Board of Directors to report.",Aye,Government Audit and Oversight Committee,240067.0
5,2024-10-08 00:00:00,"Ordinance amending the Planning Code and Zoning Map to establish the 555 9th Street Special Sign District encompassing the real property consisting of Assessor’s Parcel Block No. 3781, Lot No. 003, and to modify sign controls for the existing shopping center; affirming the Planning Department’s determination under the California Environmental Quality Act; making findings of consistency with the General Plan, and the eight priority policies of Planning Code, Section 101.1; and making findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Board of Supervisors,240438.0
6,2024-10-08 00:00:00,"Ordinance amending the Building Code to excuse the requirement for professionally prepared architectural drawings for building permits to change certain use designations that do not increase occupant load or occupancy class, or include alterations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors,240798.0
7,2024-10-08 00:00:00,"Ordinance amending the Administrative Code to expand the San Francisco Public Utilities Commission’s (SFPUC) Social Impact Partnership Program by requiring that all covered contracts that include a Social Impact commitment, including those contracts that were solicited before April 22, 2023, increase such commitment upon amendment or modification of the contract and by removing the minimum threshold for applicable amendments or modifications.",Aye,Board of Supervisors,240808.0
8,2024-10-08 00:00:00,"Ordinance retroactively authorizing the Office of Economic and Workforce Development to accept and expend a grant in the amount of $14,000,000 from the California Economic Development Department for the California Jobs First Catalyst Program, for the grant period of May 1, 2024, through September 30, 2026; and exempting the California Jobs First Catalyst Program subgrants from the grantmaking requirements under Administrative Code, Chapter 21G, and all other provisions in the Administrative, Environment, and Labor and Employment Codes imposing obligations or restrictions on subgrantees related",Aye,Board of Supervisors,240842.0
9,2024-10-08 00:00:00,"Ordinance authorizing the Department of Public Health to amend an existing grant to Planned Parenthood Northern California by increasing the not to exceed amount by $171,000 for a total not to exceed amount of $571,000 to fund security personnel to support access to family planning and other sexual and reproductive healthcare services, with no changes to the grant term of April 1, 2023, through March 31, 2025; and waiving the competitive solicitation requirements in the Administrative Code.",Aye,Board of Supervisors,240930.0
10,2024-10-08 00:00:00,"Ordinance amending the Police Code to 1) prohibit persons from promoting a Vehicle Sideshow or preparations for such a sideshow; 2) prohibit persons from assembling together to obstruct the streets, sidewalks, highways, other public right-of-ways, off-street parking facilities, or private property in connection with a Vehicle Sideshow or preparations for such a sideshow; 3) prohibit persons from knowingly being present at a Vehicle Sideshow or preparations for such a sideshow for purposes of participating in the Vehicle Sideshow; 4) prohibit persons present at a Vehicle Sideshow or preparation",Aye,Board of Supervisors,240844.0
11,2024-10-08 00:00:00,"Resolution authorizing the General Manager of the San Francisco Public Utilities Commission to execute Amendment No.1 to Contract No. PRO.0138.C with AECOM Technical Services, Inc., increasing the contract by $9,000,000 for a total not to exceed amount of $20,000,000 with no change to the term of April 16, 2020, through April 15, 2031, to continue providing planning, design, and engineering support of improvements to various dam and reservoir facilities, pursuant to Charter, Section 9.118(b).",Aye,Board of Supervisors,240827.0
